1,James T,-,15,5,0,0
2,Bobby H,-,12,4,1,0
3,Ben G,-,12,4,1,0
4,Noah L-U,-,12,4,1,0
5,Aaron B,-,12,4,1,0
6,T-Jay H-D,-,12,4,1,0
7,Jake F,-,9,3,2,0
8,James N,-,9,3,2,0
9,Axel P,-,9,3,2,0
10,Ruby U,-,9,3,2,0
11,Declan E,-,9,3,2,0
12,Zhen D,-,9,3,2,0
13,Jack S,-,9,3,2,0
14,Daniel O,-,6,2,3,0
15,Maxwell J,-,6,2,3,0
16,Liam G,-,6,2,3,0
17,Dean J,-,6,2,3,0
18,Teddy H,-,6,2,3,0
19,Bradley S,-,6,2,3,0
20,Ben B,-,6,2,3,0
21,Jonathan S,-,4,1,3,1
22,Albert R,-,4,1,3,1
23,Jemma G,-,3,1,4,0
24,David H,-,3,1,4,0
25,Cian M,-,3,1,4,0
26,Raymond R,-,0,0,5,0
27,David G,-,-,-,-,-
